method,n_strata,zx_influence_scale,ARI_mean,ARI_sd,ARI_se,ARI_ci95,C1_heterogeneity_mean,C1_heterogeneity_sd,C1_heterogeneity_se,C1_heterogeneity_ci95,W_true_mean,W_true_sd,W_true_se,W_true_ci95,W_est_mean,W_est_sd,W_est_se,W_est_ci95,bias_crude_mean,bias_crude_sd,bias_crude_se,bias_crude_ci95,bias_stratified_mean,bias_stratified_sd,bias_stratified_se,bias_stratified_ci95,bias_reduction_mean,bias_reduction_sd,bias_reduction_se,bias_reduction_ci95,bias_reduction_relative_mean,bias_reduction_relative_sd,bias_reduction_relative_se,bias_reduction_relative_ci95,abs_bias_crude_mean,abs_bias_stratified_mean,abs_bias_crude_se,abs_bias_stratified_se
1A_predicted_prob,3,0.3,0.0033200775555765182,0.0015912685733554081,0.00022503935978173043,0.00044107714517219166,0.8262732615499331,0.2623026315328881,0.037095193895996297,0.07270658003615274,0.05647393596856053,0.017486840142362483,0.0024730126492379287,0.004847104792506341,0.08185350134941524,0.10391198821853415,0.014695374303180426,0.028802933634233634,0.015221504090692164,0.01305449151146688,0.0018461838945400906,0.0036185204332985776,0.015375526324649566,0.011706236456435945,0.0016555118361038074,0.0032448031987634624,-0.00015402223395739396,0.0035788566723939518,0.0005061267643888971,0.0009920084582022383,-0.010118726312440263,2.034039450528023,0.03387427791717694,0.563806970758375,0.015221504090692164,0.015375526324649566,0.0018461838945400906,0.0016555118361038074
1A_predicted_prob,3,0.5,0.008622867518148416,0.0023048502121663836,0.00032595504292842054,0.0006388718841397042,0.8187914190227248,0.2613291067062813,0.03695751669468687,0.07243673272158627,0.12526189872917173,0.022107389418966606,0.0031264569944966032,0.006127855709213342,0.08644510856897711,0.10374125796902726,0.014671229399744428,0.028755609623499077,0.020953870911967966,0.016049797295853683,0.0022697841009135305,0.00444877683779052,0.01868478776977388,0.015057950326537837,0.0021295157573330186,0.004173850884372716,0.002269083142194076,0.005423930593982331,0.0007670596207380169,0.0015034368566465132,0.10828944932070184,1.863435152047243,0.03435642246203408,0.5165178718670843,0.020953870911967966,0.01868478776977388,0.0022697841009135305,0.0021295157573330186
1A_predicted_prob,3,1.0,0.028236281761073,0.005189750235840562,0.0007339415168854691,0.0014385253730955195,0.8367938928298784,0.2448834969566163,0.03463175625973973,0.06787824226908987,0.31976980338358,0.03041985500309486,0.00430201715107998,0.00843195361611676,0.1007929737967956,0.10057335521580779,0.014223220295956223,0.027877511780074197,0.019020562654715214,0.015148591769945055,0.0021423343931909746,0.004198975410654311,0.016588035110087666,0.012789623278983999,0.0018087258698781825,0.0035451027049612375,0.002432527544627533,0.008686972675555061,0.001228523457373446,0.002407905976451954,0.1278893578904997,3.550912094033786,0.05813591165367916,0.9842626162667364,0.019020562654715214,0.016588035110087666,0.0021423343931909746,0.0018087258698781825
1A_predicted_prob,5,0.3,0.003007404524028976,0.001811502496203871,0.000256185139840423,0.0005021228740872291,0.8554588852607975,0.19319296066267255,0.027321610512416335,0.05355035660433601,0.06708882371730873,0.015546906104811029,0.0021986645466364825,0.004309382511407505,0.09111936706218722,0.11690547843700706,0.01653293131213308,0.032404545371780835,0.0167407197537589,0.012980445470621526,0.0018357122030197375,0.0035979959179186856,0.016059899486031,0.012222191537108342,0.0017284789033700282,0.0033878186506052553,0.0006808202677278921,0.005118817686514251,0.0007239101395583724,0.0014188638735344098,0.04066851830400131,28.20163097889328,0.04193196567653597,7.8170932862328515,0.0167407197537589,0.016059899486031,0.0018357122030197375,0.0017284789033700282
1A_predicted_prob,5,0.5,0.008852663554988935,0.0026763430861874837,0.00037849206900498046,0.0007418444552497617,0.9045548687544698,0.1826264918811814,0.025827286166698667,0.05062148088672939,0.14955362843472958,0.021832624264797335,0.003087599333747231,0.006051694694144573,0.10728328009160089,0.13752927828517916,0.019449577057428395,0.03812117103255965,0.01724762931480798,0.014352581389211798,0.0020297615255687003,0.003978332590114653,0.016685873250549595,0.013576482259399463,0.001920004534056044,0.0037632088867498464,0.0005617560642583874,0.00540623957246135,0.0007645577324812964,0.001498533155663341,0.032570045077214616,1.9129611637021418,0.04322295727495918,0.530245781912115,0.01724762931480798,0.016685873250549595,0.0020297615255687003,0.001920004534056044
1A_predicted_prob,5,1.0,0.029768874211127155,0.0038890841175774128,0.0005499995504287778,0.0010779991188404044,0.9264186229291339,0.1527203833595497,0.021597923739789353,0.04233193052998713,0.3557877088153046,0.028571272705496014,0.004040588135437269,0.007919552745457048,0.11071854680216069,0.1265905098269342,0.01790260158649749,0.03508909910953508,0.01856279845330446,0.017118327425919563,0.002420897081087876,0.004744958278932237,0.016492187396430623,0.012862642965931936,0.0018190524130383835,0.0035653427295552318,0.0020706110568738346,0.009982156289200645,0.0014116900805915438,0.002766912557959426,0.11154627693031038,6.868191635775387,0.06726032353485503,1.903765593017037,0.01856279845330446,0.016492187396430623,0.002420897081087876,0.0018190524130383835
1B_residual,3,0.3,0.009290943494907935,0.0026081792142023793,0.00036885224178246067,0.0007229503938936229,1.0,0.0,0.0,0.0,0.12799113261555178,0.02294225862848361,0.003244525330387268,0.006359269647559045,0.06373611529283102,0.07940401061208437,0.011229422871442686,0.022009668828027663,0.015221504090692164,0.01305449151146688,0.0018461838945400906,0.0036185204332985776,0.013414627442309247,0.009095472915892903,0.0012862941153852904,0.0025211364661551694,0.001806876648382926,0.012973448311854081,0.0018347226553370375,0.0035960564044605933,0.1187055259202544,6.446480231056407,0.11005799762814063,1.7868731553766826,0.015221504090692164,0.013414627442309247,0.0018461838945400906,0.0012862941153852904
1B_residual,3,0.5,0.014043255954572977,0.0028725671114839205,0.0004062423367887467,0.0007962349801059435,1.0,0.0,0.0,0.0,0.18733955431741414,0.025761971918921354,0.0036432930081213405,0.007140854295917827,0.06954142229487636,0.08316702417956504,0.011761593353695199,0.02305272297324259,0.020953870911967966,0.016049797295853683,0.0022697841009135305,0.00444877683779052,0.013772344506112012,0.010933139587170763,0.0015461794283495075,0.0030305116795650345,0.007181526405855941,0.013780752307496617,0.001948892681296604,0.003819829655341344,0.3427302972337283,9.358014691010625,0.07006203699447622,2.593909333411123,0.020953870911967966,0.013772344506112012,0.0022697841009135305,0.0015461794283495075
1B_residual,3,1.0,0.03140802555075947,0.004578540072963264,0.0006475033467053348,0.0012691065595424563,0.9914855614089585,0.04045890997989406,0.005721753921239835,0.011214637685630077,0.3368940920042139,0.024532504623577325,0.0034694200757643713,0.006800063348498167,0.0893249821931778,0.08903793319418019,0.012591865268887921,0.024680055927020324,0.019020562654715214,0.015148591769945055,0.0021423343931909746,0.004198975410654311,0.016486825077586097,0.01257842582692473,0.0017788580397740967,0.0034865617579572295,0.0025337375771291165,0.015667771644111966,0.0022157575151267746,0.004342884729648478,0.13321044298870943,2.49629922345096,0.1070660708136275,0.6919388426389714,0.019020562654715214,0.016486825077586097,0.0021423343931909746,0.0017788580397740967
1B_residual,5,0.3,0.011708910702041421,0.002849140792943827,0.0004029293550491594,0.0007897415358963524,1.0,0.0,0.0,0.0,0.17469125067522198,0.024441681359704797,0.003456575726609619,0.006774888424154853,0.06204848819192882,0.07899291059569044,0.011171284549575078,0.021895717717167154,0.0167407197537589,0.012980445470621526,0.0018357122030197375,0.0035979959179186856,0.011928166564834489,0.009313867539230839,0.0013171797792126776,0.002581672367256848,0.004812553188924406,0.016337536133986155,0.0023104765176443724,0.004528533974582969,0.28747588274057445,13.30256075637339,0.11352986570055604,3.6872817198472476,0.0167407197537589,0.011928166564834489,0.0018357122030197375,0.0013171797792126776
